Student,LPIPS,SSIM
112590028.jpg,0.0,1.0
112590025.png,0.3566906154155731,0.3918946393198898
112590021.png,0.373214989900589,0.3785246401706355
112590051.png,0.3903704583644867,0.37712248847040786
112590052.png,0.40837621688842773,0.33742619515510014
112590035.png,0.41018572449684143,0.4197219588341266
112590005.png,0.4143856167793274,0.48567075164128815
110590456.png,0.4245482385158539,0.40039671098735097
109810011.png,0.4247826933860779,0.403047666741666
112590017.png,0.4252655506134033,0.44911086915675585
112590044.png,0.4417973458766937,0.437553070211393
112590026.png,0.4451276361942291,0.3823560028093669
112590023.png,0.44661158323287964,0.4543038368856058
112590060.png,0.4491022229194641,0.4329626780253098
112590007.png,0.4492984414100647,0.4256990390945212
112590057.png,0.4499533176422119,0.36939203681926025
112590018.png,0.45243242383003235,0.31793239917624
112590038.png,0.4538899064064026,0.4513787447558893
112590013.png,0.45420002937316895,0.47865727149762943
112590029.png,0.4578823447227478,0.4909563523398605
U+9673.png,0.45842644572257996,0.43484129652024955
112590014.png,0.45944151282310486,0.4675942157775577
112590031.png,0.4625081419944763,0.31128254526758603
112590004.png,0.4637092649936676,0.4257519499159806
112590053.png,0.4730767607688904,0.30706150195422705
112590036.png,0.4735572934150696,0.4432211897342751
112590041.png,0.48185354471206665,0.4348735152864576
112590022.png,0.4845259189605713,0.3678063156318306
112590020.png,0.4874645173549652,0.34823131208711033
112590012.png,0.4930700659751892,0.4782282576881444
111820017.jpg,0.4948551058769226,0.3593877810687807
112590024.png,0.4995248317718506,0.3448587460850557
112590009.png,0.5114907622337341,0.3699260034953448
112ab0053.png,0.5194661617279053,0.439546474350423
112590033.png,0.5321485996246338,0.3995160057874514
111332012.png,0.5402252674102783,0.3831469275005878
110820009.png,0.5425270795822144,0.33073892071148925
112590003.png,0.5563141107559204,0.3413457634171831
113378043.png,0.5746738910675049,0.3692490614247366
112590030.png,0.5760485529899597,0.3536748250239697
110590041.png,0.5800636410713196,0.3976530625000844
